,x,y,variable,value
2981,1213,609,Telekom-CEGmQQ,178.0
2982,1329,616,Telekom-CEGmQQ,
2983,1444,612,Telekom-CEGmQQ,
2984,1570,614,Telekom-CEGmQQ,
2985,1145,676,Telekom-CEGmQQ,177.0
2986,1209,678,Telekom-CEGmQQ,179.0
2987,1324,694,Telekom-CEGmQQ,175.0
2988,1440,685,Telekom-CEGmQQ,177.0
2989,1574,690,Telekom-CEGmQQ,
2990,1668,609,Telekom-CEGmQQ,174.0
2991,1759,607,Telekom-CEGmQQ,179.0
2992,1657,697,Telekom-CEGmQQ,179.0
2993,1755,689,Telekom-CEGmQQ,
2994,1149,785,Telekom-CEGmQQ,183.0
2995,1214,778,Telekom-CEGmQQ,
2996,1330,783,Telekom-CEGmQQ,184.0
2997,1443,769,Telekom-CEGmQQ,178.0
2998,1582,797,Telekom-CEGmQQ,
2999,1670,804,Telekom-CEGmQQ,
3000,1766,803,Telekom-CEGmQQ,
3001,1146,872,Telekom-CEGmQQ,184.0
3002,1147,953,Telekom-CEGmQQ,184.0
3003,1210,873,Telekom-CEGmQQ,178.0
3004,1330,874,Telekom-CEGmQQ,
3005,1435,875,Telekom-CEGmQQ,177.0
3006,1579,888,Telekom-CEGmQQ,180.0
3007,1671,891,Telekom-CEGmQQ,
3008,1767,893,Telekom-CEGmQQ,170.0
3009,1770,962,Telekom-CEGmQQ,169.0
3010,1677,961,Telekom-CEGmQQ,
3011,1579,966,Telekom-CEGmQQ,
3012,1434,957,Telekom-CEGmQQ,177.0
3013,1334,961,Telekom-CEGmQQ,
3014,1222,956,Telekom-CEGmQQ,
3015,1456,353,Telekom-CEGmQQ,
3016,1334,355,Telekom-CEGmQQ,
3017,1222,356,Telekom-CEGmQQ,170.0
3018,1141,360,Telekom-CEGmQQ,180.0
3019,1454,260,Telekom-CEGmQQ,175.0
3020,1329,249,Telekom-CEGmQQ,
3021,1218,251,Telekom-CEGmQQ,174.0
3022,1669,154,Telekom-CEGmQQ,
3023,1773,148,Telekom-CEGmQQ,
3024,1145,253,Telekom-CEGmQQ,
3025,1144,155,Telekom-CEGmQQ,186.0
3026,1142,58,Telekom-CEGmQQ,174.0
3027,1220,162,Telekom-CEGmQQ,180.0
3028,1577,352,Telekom-CEGmQQ,
3029,1676,304,Telekom-CEGmQQ,
3030,1774,307,Telekom-CEGmQQ,167.0
3031,1771,248,Telekom-CEGmQQ,
3032,1670,243,Telekom-CEGmQQ,
3033,1575,235,Telekom-CEGmQQ,176.0
3034,1331,165,Telekom-CEGmQQ,177.0
3035,1214,55,Telekom-CEGmQQ,178.0
3036,1334,56,Telekom-CEGmQQ,177.0
3037,1450,160,Telekom-CEGmQQ,180.0
3038,1564,147,Telekom-CEGmQQ,175.0
3039,1448,55,Telekom-CEGmQQ,
3040,1560,59,Telekom-CEGmQQ,176.0
3041,1658,57,Telekom-CEGmQQ,
3042,1762,56,Telekom-CEGmQQ,
3043,48,19,Telekom-CEGmQQ 5GHz,177.0
3044,41,82,Telekom-CEGmQQ 5GHz,173.0
3045,41,141,Telekom-CEGmQQ 5GHz,176.0
3046,40,205,Telekom-CEGmQQ 5GHz,173.0
3047,40,303,Telekom-CEGmQQ 5GHz,179.0
3048,37,407,Telekom-CEGmQQ 5GHz,172.0
3049,33,508,Telekom-CEGmQQ 5GHz,178.0
3050,38,629,Telekom-CEGmQQ 5GHz,174.0
3051,38,728,Telekom-CEGmQQ 5GHz,173.0
3052,40,866,Telekom-CEGmQQ 5GHz,179.0
3053,33,959,Telekom-CEGmQQ 5GHz,174.0
3054,137,958,Telekom-CEGmQQ 5GHz,182.0
3055,135,857,Telekom-CEGmQQ 5GHz,184.0
3056,135,729,Telekom-CEGmQQ 5GHz,182.0
3057,139,639,Telekom-CEGmQQ 5GHz,179.0
3058,144,531,Telekom-CEGmQQ 5GHz,173.0
3059,143,594,Telekom-CEGmQQ 5GHz,173.0
3060,32,582,Telekom-CEGmQQ 5GHz,175.0
3061,141,415,Telekom-CEGmQQ 5GHz,173.0
3062,146,326,Telekom-CEGmQQ 5GHz,176.0
3063,148,178,Telekom-CEGmQQ 5GHz,174.0
3064,139,239,Telekom-CEGmQQ 5GHz,
3065,146,89,Telekom-CEGmQQ 5GHz,176.0
3066,147,24,Telekom-CEGmQQ 5GHz,173.0
3067,282,16,Telekom-CEGmQQ 5GHz,170.0
3068,277,85,Telekom-CEGmQQ 5GHz,172.0
3069,273,159,Telekom-CEGmQQ 5GHz,174.0
3070,274,244,Telekom-CEGmQQ 5GHz,176.0
3071,274,351,Telekom-CEGmQQ 5GHz,171.0
3072,272,458,Telekom-CEGmQQ 5GHz,171.0
3073,269,588,Telekom-CEGmQQ 5GHz,175.0
3074,263,710,Telekom-CEGmQQ 5GHz,175.0
3075,255,828,Telekom-CEGmQQ 5GHz,180.0
3076,242,909,Telekom-CEGmQQ 5GHz,
3077,231,965,Telekom-CEGmQQ 5GHz,185.0
3078,357,957,Telekom-CEGmQQ 5GHz,179.0
3079,360,903,Telekom-CEGmQQ 5GHz,174.0
3080,360,819,Telekom-CEGmQQ 5GHz,177.0
3081,369,704,Telekom-CEGmQQ 5GHz,
3082,367,605,Telekom-CEGmQQ 5GHz,177.0
3083,370,502,Telekom-CEGmQQ 5GHz,176.0
3084,389,394,Telekom-CEGmQQ 5GHz,174.0
3085,394,249,Telekom-CEGmQQ 5GHz,
3086,391,153,Telekom-CEGmQQ 5GHz,
3087,389,71,Telekom-CEGmQQ 5GHz,180.0
3088,391,12,Telekom-CEGmQQ 5GHz,174.0
3089,514,13,Telekom-CEGmQQ 5GHz,172.0
3090,502,67,Telekom-CEGmQQ 5GHz,
3091,507,150,Telekom-CEGmQQ 5GHz,168.0
3092,504,251,Telekom-CEGmQQ 5GHz,180.0
3093,504,377,Telekom-CEGmQQ 5GHz,
3094,499,496,Telekom-CEGmQQ 5GHz,
3095,490,601,Telekom-CEGmQQ 5GHz,174.0
3096,486,704,Telekom-CEGmQQ 5GHz,
3097,477,821,Telekom-CEGmQQ 5GHz,177.0
3098,476,893,Telekom-CEGmQQ 5GHz,174.0
3099,475,962,Telekom-CEGmQQ 5GHz,178.0
3100,589,961,Telekom-CEGmQQ 5GHz,180.0
3101,589,880,Telekom-CEGmQQ 5GHz,180.0
3102,589,788,Telekom-CEGmQQ 5GHz,
3103,588,687,Telekom-CEGmQQ 5GHz,173.0
3104,588,574,Telekom-CEGmQQ 5GHz,179.0
3105,595,490,Telekom-CEGmQQ 5GHz,175.0
3106,588,377,Telekom-CEGmQQ 5GHz,172.0
3107,592,255,Telekom-CEGmQQ 5GHz,174.0
3108,611,147,Telekom-CEGmQQ 5GHz,
3109,602,59,Telekom-CEGmQQ 5GHz,170.0
3110,599,7,Telekom-CEGmQQ 5GHz,175.0
3111,716,13,Telekom-CEGmQQ 5GHz,174.0
3112,713,79,Telekom-CEGmQQ 5GHz,173.0
3113,708,163,Telekom-CEGmQQ 5GHz,174.0
3114,710,257,Telekom-CEGmQQ 5GHz,173.0
3115,702,375,Telekom-CEGmQQ 5GHz,171.0
3116,698,480,Telekom-CEGmQQ 5GHz,176.0
3117,694,574,Telekom-CEGmQQ 5GHz,176.0
3118,695,675,Telekom-CEGmQQ 5GHz,175.0
3119,692,779,Telekom-CEGmQQ 5GHz,175.0
3120,685,885,Telekom-CEGmQQ 5GHz,178.0
3121,676,961,Telekom-CEGmQQ 5GHz,177.0
3122,811,958,Telekom-CEGmQQ 5GHz,165.0
3123,808,877,Telekom-CEGmQQ 5GHz,172.0
3124,810,793,Telekom-CEGmQQ 5GHz,164.0
3125,812,670,Telekom-CEGmQQ 5GHz,171.0
3126,808,561,Telekom-CEGmQQ 5GHz,172.0
3127,965,558,Telekom-CEGmQQ 5GHz,172.0
3128,1089,567,Telekom-CEGmQQ 5GHz,166.0
3129,809,465,Telekom-CEGmQQ 5GHz,172.0
3130,808,349,Telekom-CEGmQQ 5GHz,171.0
3131,820,255,Telekom-CEGmQQ 5GHz,171.0
3132,827,144,Telekom-CEGmQQ 5GHz,168.0
3133,826,74,Telekom-CEGmQQ 5GHz,173.0
3134,824,13,Telekom-CEGmQQ 5GHz,166.0
3135,964,18,Telekom-CEGmQQ 5GHz,171.0
3136,971,85,Telekom-CEGmQQ 5GHz,167.0
3137,966,151,Telekom-CEGmQQ 5GHz,173.0
3138,969,251,Telekom-CEGmQQ 5GHz,172.0
3139,970,360,Telekom-CEGmQQ 5GHz,171.0
3140,973,459,Telekom-CEGmQQ 5GHz,167.0
3141,1094,21,Telekom-CEGmQQ 5GHz,168.0
3142,1094,92,Telekom-CEGmQQ 5GHz,170.0
3143,1095,158,Telekom-CEGmQQ 5GHz,170.0
3144,1090,256,Telekom-CEGmQQ 5GHz,171.0
3145,1088,357,Telekom-CEGmQQ 5GHz,170.0
3146,1084,448,Telekom-CEGmQQ 5GHz,172.0
3147,1218,451,Telekom-CEGmQQ 5GHz,
3148,1334,449,Telekom-CEGmQQ 5GHz,
3149,1459,444,Telekom-CEGmQQ 5GHz,
3150,1566,445,Telekom-CEGmQQ 5GHz,
3151,1677,444,Telekom-CEGmQQ 5GHz,
3152,1771,439,Telekom-CEGmQQ 5GHz,
3153,1765,525,Telekom-CEGmQQ 5GHz,
3154,1672,518,Telekom-CEGmQQ 5GHz,
3155,1568,537,Telekom-CEGmQQ 5GHz,
3156,1448,537,Telekom-CEGmQQ 5GHz,
3157,1325,533,Telekom-CEGmQQ 5GHz,
3158,1212,529,Telekom-CEGmQQ 5GHz,
3159,1148,611,Telekom-CEGmQQ 5GHz,167.0
3160,1213,609,Telekom-CEGmQQ 5GHz,
3161,1329,616,Telekom-CEGmQQ 5GHz,
3162,1444,612,Telekom-CEGmQQ 5GHz,
3163,1570,614,Telekom-CEGmQQ 5GHz,
3164,1145,676,Telekom-CEGmQQ 5GHz,166.0
3165,1209,678,Telekom-CEGmQQ 5GHz,
3166,1324,694,Telekom-CEGmQQ 5GHz,166.0
3167,1440,685,Telekom-CEGmQQ 5GHz,
3168,1574,690,Telekom-CEGmQQ 5GHz,
3169,1668,609,Telekom-CEGmQQ 5GHz,
3170,1759,607,Telekom-CEGmQQ 5GHz,
3171,1657,697,Telekom-CEGmQQ 5GHz,
3172,1755,689,Telekom-CEGmQQ 5GHz,
3173,1149,785,Telekom-CEGmQQ 5GHz,
3174,1214,778,Telekom-CEGmQQ 5GHz,
3175,1330,783,Telekom-CEGmQQ 5GHz,
3176,1443,769,Telekom-CEGmQQ 5GHz,
3177,1582,797,Telekom-CEGmQQ 5GHz,
3178,1670,804,Telekom-CEGmQQ 5GHz,
3179,1766,803,Telekom-CEGmQQ 5GHz,
3180,1146,872,Telekom-CEGmQQ 5GHz,167.0
3181,1147,953,Telekom-CEGmQQ 5GHz,166.0
3182,1210,873,Telekom-CEGmQQ 5GHz,
3183,1330,874,Telekom-CEGmQQ 5GHz,166.0
3184,1435,875,Telekom-CEGmQQ 5GHz,
3185,1579,888,Telekom-CEGmQQ 5GHz,
3186,1671,891,Telekom-CEGmQQ 5GHz,
3187,1767,893,Telekom-CEGmQQ 5GHz,
3188,1770,962,Telekom-CEGmQQ 5GHz,
3189,1677,961,Telekom-CEGmQQ 5GHz,
3190,1579,966,Telekom-CEGmQQ 5GHz,
3191,1434,957,Telekom-CEGmQQ 5GHz,164.0
3192,1334,961,Telekom-CEGmQQ 5GHz,165.0
3193,1222,956,Telekom-CEGmQQ 5GHz,166.0
3194,1456,353,Telekom-CEGmQQ 5GHz,
3195,1334,355,Telekom-CEGmQQ 5GHz,
3196,1222,356,Telekom-CEGmQQ 5GHz,
3197,1141,360,Telekom-CEGmQQ 5GHz,
3198,1454,260,Telekom-CEGmQQ 5GHz,
3199,1329,249,Telekom-CEGmQQ 5GHz,
3200,1218,251,Telekom-CEGmQQ 5GHz,
3201,1669,154,Telekom-CEGmQQ 5GHz,
3202,1773,148,Telekom-CEGmQQ 5GHz,
3203,1145,253,Telekom-CEGmQQ 5GHz,
3204,1144,155,Telekom-CEGmQQ 5GHz,
3205,1142,58,Telekom-CEGmQQ 5GHz,
3206,1220,162,Telekom-CEGmQQ 5GHz,
3207,1577,352,Telekom-CEGmQQ 5GHz,
3208,1676,304,Telekom-CEGmQQ 5GHz,
3209,1774,307,Telekom-CEGmQQ 5GHz,
3210,1771,248,Telekom-CEGmQQ 5GHz,
3211,1670,243,Telekom-CEGmQQ 5GHz,
3212,1575,235,Telekom-CEGmQQ 5GHz,
3213,1331,165,Telekom-CEGmQQ 5GHz,
3214,1214,55,Telekom-CEGmQQ 5GHz,
3215,1334,56,Telekom-CEGmQQ 5GHz,
3216,1450,160,Telekom-CEGmQQ 5GHz,
3217,1564,147,Telekom-CEGmQQ 5GHz,
3218,1448,55,Telekom-CEGmQQ 5GHz,
3219,1560,59,Telekom-CEGmQQ 5GHz,
3220,1658,57,Telekom-CEGmQQ 5GHz,
3221,1762,56,Telekom-CEGmQQ 5GHz,
3222,48,19,Telekom-Eh4auM,
3223,41,82,Telekom-Eh4auM,
3224,41,141,Telekom-Eh4auM,
3225,40,205,Telekom-Eh4auM,
3226,40,303,Telekom-Eh4auM,
3227,37,407,Telekom-Eh4auM,
3228,33,508,Telekom-Eh4auM,
3229,38,629,Telekom-Eh4auM,
3230,38,728,Telekom-Eh4auM,
3231,40,866,Telekom-Eh4auM,
3232,33,959,Telekom-Eh4auM,
3233,137,958,Telekom-Eh4auM,
3234,135,857,Telekom-Eh4auM,
3235,135,729,Telekom-Eh4auM,
3236,139,639,Telekom-Eh4auM,
3237,144,531,Telekom-Eh4auM,
3238,143,594,Telekom-Eh4auM,
3239,32,582,Telekom-Eh4auM,
3240,141,415,Telekom-Eh4auM,
3241,146,326,Telekom-Eh4auM,
3242,148,178,Telekom-Eh4auM,
3243,139,239,Telekom-Eh4auM,
3244,146,89,Telekom-Eh4auM,
3245,147,24,Telekom-Eh4auM,
3246,282,16,Telekom-Eh4auM,
3247,277,85,Telekom-Eh4auM,
3248,273,159,Telekom-Eh4auM,
3249,274,244,Telekom-Eh4auM,
3250,274,351,Telekom-Eh4auM,
3251,272,458,Telekom-Eh4auM,
3252,269,588,Telekom-Eh4auM,
3253,263,710,Telekom-Eh4auM,
3254,255,828,Telekom-Eh4auM,
3255,242,909,Telekom-Eh4auM,
3256,231,965,Telekom-Eh4auM,
3257,357,957,Telekom-Eh4auM,
3258,360,903,Telekom-Eh4auM,
3259,360,819,Telekom-Eh4auM,
3260,369,704,Telekom-Eh4auM,
3261,367,605,Telekom-Eh4auM,
3262,370,502,Telekom-Eh4auM,
3263,389,394,Telekom-Eh4auM,
3264,394,249,Telekom-Eh4auM,
3265,391,153,Telekom-Eh4auM,
3266,389,71,Telekom-Eh4auM,
3267,391,12,Telekom-Eh4auM,
3268,514,13,Telekom-Eh4auM,
3269,502,67,Telekom-Eh4auM,
3270,507,150,Telekom-Eh4auM,
3271,504,251,Telekom-Eh4auM,
3272,504,377,Telekom-Eh4auM,
3273,499,496,Telekom-Eh4auM,
3274,490,601,Telekom-Eh4auM,
3275,486,704,Telekom-Eh4auM,
3276,477,821,Telekom-Eh4auM,
3277,476,893,Telekom-Eh4auM,
3278,475,962,Telekom-Eh4auM,
3279,589,961,Telekom-Eh4auM,
3280,589,880,Telekom-Eh4auM,
3281,589,788,Telekom-Eh4auM,
3282,588,687,Telekom-Eh4auM,
3283,588,574,Telekom-Eh4auM,
3284,595,490,Telekom-Eh4auM,
3285,588,377,Telekom-Eh4auM,
3286,592,255,Telekom-Eh4auM,
3287,611,147,Telekom-Eh4auM,
3288,602,59,Telekom-Eh4auM,
3289,599,7,Telekom-Eh4auM,
3290,716,13,Telekom-Eh4auM,
3291,713,79,Telekom-Eh4auM,
3292,708,163,Telekom-Eh4auM,
3293,710,257,Telekom-Eh4auM,
3294,702,375,Telekom-Eh4auM,
3295,698,480,Telekom-Eh4auM,
3296,694,574,Telekom-Eh4auM,
3297,695,675,Telekom-Eh4auM,
3298,692,779,Telekom-Eh4auM,
3299,685,885,Telekom-Eh4auM,
3300,676,961,Telekom-Eh4auM,
3301,811,958,Telekom-Eh4auM,
3302,808,877,Telekom-Eh4auM,
3303,810,793,Telekom-Eh4auM,
3304,812,670,Telekom-Eh4auM,
3305,808,561,Telekom-Eh4auM,
3306,965,558,Telekom-Eh4auM,
3307,1089,567,Telekom-Eh4auM,
3308,809,465,Telekom-Eh4auM,
3309,808,349,Telekom-Eh4auM,
3310,820,255,Telekom-Eh4auM,
3311,827,144,Telekom-Eh4auM,
3312,826,74,Telekom-Eh4auM,
3313,824,13,Telekom-Eh4auM,
3314,964,18,Telekom-Eh4auM,
3315,971,85,Telekom-Eh4auM,
3316,966,151,Telekom-Eh4auM,
3317,969,251,Telekom-Eh4auM,
3318,970,360,Telekom-Eh4auM,
3319,973,459,Telekom-Eh4auM,
3320,1094,21,Telekom-Eh4auM,
3321,1094,92,Telekom-Eh4auM,
3322,1095,158,Telekom-Eh4auM,
3323,1090,256,Telekom-Eh4auM,
3324,1088,357,Telekom-Eh4auM,
3325,1084,448,Telekom-Eh4auM,
3326,1218,451,Telekom-Eh4auM,
3327,1334,449,Telekom-Eh4auM,
3328,1459,444,Telekom-Eh4auM,
3329,1566,445,Telekom-Eh4auM,
3330,1677,444,Telekom-Eh4auM,
3331,1771,439,Telekom-Eh4auM,
3332,1765,525,Telekom-Eh4auM,
3333,1672,518,Telekom-Eh4auM,
3334,1568,537,Telekom-Eh4auM,
3335,1448,537,Telekom-Eh4auM,
3336,1325,533,Telekom-Eh4auM,
3337,1212,529,Telekom-Eh4auM,
3338,1148,611,Telekom-Eh4auM,
3339,1213,609,Telekom-Eh4auM,
3340,1329,616,Telekom-Eh4auM,
3341,1444,612,Telekom-Eh4auM,
3342,1570,614,Telekom-Eh4auM,
3343,1145,676,Telekom-Eh4auM,
3344,1209,678,Telekom-Eh4auM,
3345,1324,694,Telekom-Eh4auM,
3346,1440,685,Telekom-Eh4auM,
3347,1574,690,Telekom-Eh4auM,
3348,1668,609,Telekom-Eh4auM,
3349,1759,607,Telekom-Eh4auM,
3350,1657,697,Telekom-Eh4auM,
3351,1755,689,Telekom-Eh4auM,
3352,1149,785,Telekom-Eh4auM,
3353,1214,778,Telekom-Eh4auM,
3354,1330,783,Telekom-Eh4auM,
3355,1443,769,Telekom-Eh4auM,
3356,1582,797,Telekom-Eh4auM,
3357,1670,804,Telekom-Eh4auM,
3358,1766,803,Telekom-Eh4auM,
3359,1146,872,Telekom-Eh4auM,
3360,1147,953,Telekom-Eh4auM,
3361,1210,873,Telekom-Eh4auM,
3362,1330,874,Telekom-Eh4auM,
3363,1435,875,Telekom-Eh4auM,
3364,1579,888,Telekom-Eh4auM,
3365,1671,891,Telekom-Eh4auM,
3366,1767,893,Telekom-Eh4auM,
3367,1770,962,Telekom-Eh4auM,
3368,1677,961,Telekom-Eh4auM,
3369,1579,966,Telekom-Eh4auM,
3370,1434,957,Telekom-Eh4auM,
3371,1334,961,Telekom-Eh4auM,
3372,1222,956,Telekom-Eh4auM,
3373,1456,353,Telekom-Eh4auM,
3374,1334,355,Telekom-Eh4auM,
3375,1222,356,Telekom-Eh4auM,
3376,1141,360,Telekom-Eh4auM,
3377,1454,260,Telekom-Eh4auM,
3378,1329,249,Telekom-Eh4auM,
3379,1218,251,Telekom-Eh4auM,
3380,1669,154,Telekom-Eh4auM,
3381,1773,148,Telekom-Eh4auM,
3382,1145,253,Telekom-Eh4auM,
3383,1144,155,Telekom-Eh4auM,
3384,1142,58,Telekom-Eh4auM,
3385,1220,162,Telekom-Eh4auM,
3386,1577,352,Telekom-Eh4auM,
3387,1676,304,Telekom-Eh4auM,
3388,1774,307,Telekom-Eh4auM,
3389,1771,248,Telekom-Eh4auM,166.0
3390,1670,243,Telekom-Eh4auM,
3391,1575,235,Telekom-Eh4auM,
3392,1331,165,Telekom-Eh4auM,
3393,1214,55,Telekom-Eh4auM,
3394,1334,56,Telekom-Eh4auM,
3395,1450,160,Telekom-Eh4auM,
3396,1564,147,Telekom-Eh4auM,
3397,1448,55,Telekom-Eh4auM,
3398,1560,59,Telekom-Eh4auM,
3399,1658,57,Telekom-Eh4auM,
3400,1762,56,Telekom-Eh4auM,
3401,48,19,Telekom-Lm8gPs,
3402,41,82,Telekom-Lm8gPs,172.0
3403,41,141,Telekom-Lm8gPs,
3404,40,205,Telekom-Lm8gPs,
3405,40,303,Telekom-Lm8gPs,
3406,37,407,Telekom-Lm8gPs,
3407,33,508,Telekom-Lm8gPs,171.0
3408,38,629,Telekom-Lm8gPs,179.0
3409,38,728,Telekom-Lm8gPs,182.0
3410,40,866,Telekom-Lm8gPs,180.0
3411,33,959,Telekom-Lm8gPs,180.0
3412,137,958,Telekom-Lm8gPs,
3413,135,857,Telekom-Lm8gPs,175.0
3414,135,729,Telekom-Lm8gPs,
3415,139,639,Telekom-Lm8gPs,183.0
3416,144,531,Telekom-Lm8gPs,
3417,143,594,Telekom-Lm8gPs,
3418,32,582,Telekom-Lm8gPs,
3419,141,415,Telekom-Lm8gPs,
3420,146,326,Telekom-Lm8gPs,173.0
3421,148,178,Telekom-Lm8gPs,
3422,139,239,Telekom-Lm8gPs,
3423,146,89,Telekom-Lm8gPs,
3424,147,24,Telekom-Lm8gPs,171.0
3425,282,16,Telekom-Lm8gPs,
3426,277,85,Telekom-Lm8gPs,
3427,273,159,Telekom-Lm8gPs,
3428,274,244,Telekom-Lm8gPs,
3429,274,351,Telekom-Lm8gPs,
3430,272,458,Telekom-Lm8gPs,
3431,269,588,Telekom-Lm8gPs,177.0
3432,263,710,Telekom-Lm8gPs,
3433,255,828,Telekom-Lm8gPs,
3434,242,909,Telekom-Lm8gPs,170.0
3435,231,965,Telekom-Lm8gPs,
3436,357,957,Telekom-Lm8gPs,
3437,360,903,Telekom-Lm8gPs,
3438,360,819,Telekom-Lm8gPs,177.0
3439,369,704,Telekom-Lm8gPs,
3440,367,605,Telekom-Lm8gPs,
3441,370,502,Telekom-Lm8gPs,
3442,389,394,Telekom-Lm8gPs,174.0
3443,394,249,Telekom-Lm8gPs,173.0
3444,391,153,Telekom-Lm8gPs,
3445,389,71,Telekom-Lm8gPs,169.0
3446,391,12,Telekom-Lm8gPs,178.0
3447,514,13,Telekom-Lm8gPs,177.0
3448,502,67,Telekom-Lm8gPs,185.0
3449,507,150,Telekom-Lm8gPs,
3450,504,251,Telekom-Lm8gPs,
3451,504,377,Telekom-Lm8gPs,169.0
3452,499,496,Telekom-Lm8gPs,
3453,490,601,Telekom-Lm8gPs,
3454,486,704,Telekom-Lm8gPs,
3455,477,821,Telekom-Lm8gPs,175.0
3456,476,893,Telekom-Lm8gPs,172.0
3457,475,962,Telekom-Lm8gPs,
3458,589,961,Telekom-Lm8gPs,
3459,589,880,Telekom-Lm8gPs,
3460,589,788,Telekom-Lm8gPs,173.0
3461,588,687,Telekom-Lm8gPs,
3462,588,574,Telekom-Lm8gPs,
3463,595,490,Telekom-Lm8gPs,
3464,588,377,Telekom-Lm8gPs,169.0
3465,592,255,Telekom-Lm8gPs,184.0
3466,611,147,Telekom-Lm8gPs,
3467,602,59,Telekom-Lm8gPs,184.0
3468,599,7,Telekom-Lm8gPs,181.0
3469,716,13,Telekom-Lm8gPs,171.0
3470,713,79,Telekom-Lm8gPs,181.0
3471,708,163,Telekom-Lm8gPs,173.0
3472,710,257,Telekom-Lm8gPs,
3473,702,375,Telekom-Lm8gPs,
3474,698,480,Telekom-Lm8gPs,
3475,694,574,Telekom-Lm8gPs,166.0
3476,695,675,Telekom-Lm8gPs,166.0
3477,692,779,Telekom-Lm8gPs,177.0
3478,685,885,Telekom-Lm8gPs,
3479,676,961,Telekom-Lm8gPs,
3480,811,958,Telekom-Lm8gPs,
3481,808,877,Telekom-Lm8gPs,
3482,810,793,Telekom-Lm8gPs,
3483,812,670,Telekom-Lm8gPs,
3484,808,561,Telekom-Lm8gPs,
3485,965,558,Telekom-Lm8gPs,165.0
3486,1089,567,Telekom-Lm8gPs,
3487,809,465,Telekom-Lm8gPs,
3488,808,349,Telekom-Lm8gPs,
3489,820,255,Telekom-Lm8gPs,
3490,827,144,Telekom-Lm8gPs,
3491,826,74,Telekom-Lm8gPs,175.0
3492,824,13,Telekom-Lm8gPs,177.0
3493,964,18,Telekom-Lm8gPs,173.0
3494,971,85,Telekom-Lm8gPs,181.0
3495,966,151,Telekom-Lm8gPs,182.0
3496,969,251,Telekom-Lm8gPs,177.0
3497,970,360,Telekom-Lm8gPs,
3498,973,459,Telekom-Lm8gPs,
3499,1094,21,Telekom-Lm8gPs,166.0
3500,1094,92,Telekom-Lm8gPs,183.0
3501,1095,158,Telekom-Lm8gPs,170.0
3502,1090,256,Telekom-Lm8gPs,165.0
3503,1088,357,Telekom-Lm8gPs,
3504,1084,448,Telekom-Lm8gPs,
3505,1218,451,Telekom-Lm8gPs,166.0
3506,1334,449,Telekom-Lm8gPs,
3507,1459,444,Telekom-Lm8gPs,
3508,1566,445,Telekom-Lm8gPs,
3509,1677,444,Telekom-Lm8gPs,
3510,1771,439,Telekom-Lm8gPs,
3511,1765,525,Telekom-Lm8gPs,
3512,1672,518,Telekom-Lm8gPs,
3513,1568,537,Telekom-Lm8gPs,
3514,1448,537,Telekom-Lm8gPs,
3515,1325,533,Telekom-Lm8gPs,
3516,1212,529,Telekom-Lm8gPs,
3517,1148,611,Telekom-Lm8gPs,
3518,1213,609,Telekom-Lm8gPs,
3519,1329,616,Telekom-Lm8gPs,
3520,1444,612,Telekom-Lm8gPs,
3521,1570,614,Telekom-Lm8gPs,
3522,1145,676,Telekom-Lm8gPs,
3523,1209,678,Telekom-Lm8gPs,
3524,1324,694,Telekom-Lm8gPs,
3525,1440,685,Telekom-Lm8gPs,
3526,1574,690,Telekom-Lm8gPs,
3527,1668,609,Telekom-Lm8gPs,
3528,1759,607,Telekom-Lm8gPs,
3529,1657,697,Telekom-Lm8gPs,
3530,1755,689,Telekom-Lm8gPs,
3531,1149,785,Telekom-Lm8gPs,
3532,1214,778,Telekom-Lm8gPs,
3533,1330,783,Telekom-Lm8gPs,
3534,1443,769,Telekom-Lm8gPs,
3535,1582,797,Telekom-Lm8gPs,
3536,1670,804,Telekom-Lm8gPs,
3537,1766,803,Telekom-Lm8gPs,
3538,1146,872,Telekom-Lm8gPs,
3539,1147,953,Telekom-Lm8gPs,
3540,1210,873,Telekom-Lm8gPs,
3541,1330,874,Telekom-Lm8gPs,
3542,1435,875,Telekom-Lm8gPs,
3543,1579,888,Telekom-Lm8gPs,167.0
3544,1671,891,Telekom-Lm8gPs,167.0
3545,1767,893,Telekom-Lm8gPs,
3546,1770,962,Telekom-Lm8gPs,
3547,1677,961,Telekom-Lm8gPs,
3548,1579,966,Telekom-Lm8gPs,
3549,1434,957,Telekom-Lm8gPs,
3550,1334,961,Telekom-Lm8gPs,
3551,1222,956,Telekom-Lm8gPs,
3552,1456,353,Telekom-Lm8gPs,
3553,1334,355,Telekom-Lm8gPs,172.0
3554,1222,356,Telekom-Lm8gPs,172.0
3555,1141,360,Telekom-Lm8gPs,
3556,1454,260,Telekom-Lm8gPs,
3557,1329,249,Telekom-Lm8gPs,162.0
3558,1218,251,Telekom-Lm8gPs,176.0
3559,1669,154,Telekom-Lm8gPs,
3560,1773,148,Telekom-Lm8gPs,
3561,1145,253,Telekom-Lm8gPs,
3562,1144,155,Telekom-Lm8gPs,
3563,1142,58,Telekom-Lm8gPs,
3564,1220,162,Telekom-Lm8gPs,
3565,1577,352,Telekom-Lm8gPs,
3566,1676,304,Telekom-Lm8gPs,
3567,1774,307,Telekom-Lm8gPs,
3568,1771,248,Telekom-Lm8gPs,
3569,1670,243,Telekom-Lm8gPs,
3570,1575,235,Telekom-Lm8gPs,171.0
