,x,y,variable,value
211,255,828,ASUS,
212,242,909,ASUS,
213,231,965,ASUS,
214,357,957,ASUS,
215,360,903,ASUS,
216,360,819,ASUS,
217,369,704,ASUS,
218,367,605,ASUS,
219,370,502,ASUS,
220,389,394,ASUS,
221,394,249,ASUS,
222,391,153,ASUS,
223,389,71,ASUS,
224,391,12,ASUS,
225,514,13,ASUS,
226,502,67,ASUS,
227,507,150,ASUS,
228,504,251,ASUS,
229,504,377,ASUS,
230,499,496,ASUS,
231,490,601,ASUS,
232,486,704,ASUS,
233,477,821,ASUS,
234,476,893,ASUS,
235,475,962,ASUS,
236,589,961,ASUS,
237,589,880,ASUS,
238,589,788,ASUS,
239,588,687,ASUS,
240,588,574,ASUS,
241,595,490,ASUS,
242,588,377,ASUS,
243,592,255,ASUS,
244,611,147,ASUS,
245,602,59,ASUS,
246,599,7,ASUS,
247,716,13,ASUS,
248,713,79,ASUS,
249,708,163,ASUS,
250,710,257,ASUS,
251,702,375,ASUS,
252,698,480,ASUS,
253,694,574,ASUS,
254,695,675,ASUS,
255,692,779,ASUS,
256,685,885,ASUS,
257,676,961,ASUS,
258,811,958,ASUS,
259,808,877,ASUS,
260,810,793,ASUS,
261,812,670,ASUS,
262,808,561,ASUS,
263,965,558,ASUS,
264,1089,567,ASUS,
265,809,465,ASUS,
266,808,349,ASUS,
267,820,255,ASUS,
268,827,144,ASUS,
269,826,74,ASUS,
270,824,13,ASUS,
271,964,18,ASUS,
272,971,85,ASUS,
273,966,151,ASUS,
274,969,251,ASUS,
275,970,360,ASUS,
276,973,459,ASUS,
277,1094,21,ASUS,
278,1094,92,ASUS,167.0
279,1095,158,ASUS,
280,1090,256,ASUS,
281,1088,357,ASUS,
282,1084,448,ASUS,
283,1218,451,ASUS,
284,1334,449,ASUS,
285,1459,444,ASUS,
286,1566,445,ASUS,
287,1677,444,ASUS,
288,1771,439,ASUS,
289,1765,525,ASUS,
290,1672,518,ASUS,
291,1568,537,ASUS,
292,1448,537,ASUS,
293,1325,533,ASUS,
294,1212,529,ASUS,
295,1148,611,ASUS,
296,1213,609,ASUS,
297,1329,616,ASUS,
298,1444,612,ASUS,
299,1570,614,ASUS,
300,1145,676,ASUS,
301,1209,678,ASUS,
302,1324,694,ASUS,
303,1440,685,ASUS,
304,1574,690,ASUS,
305,1668,609,ASUS,
306,1759,607,ASUS,
307,1657,697,ASUS,169.0
308,1755,689,ASUS,
309,1149,785,ASUS,
310,1214,778,ASUS,
311,1330,783,ASUS,
312,1443,769,ASUS,
313,1582,797,ASUS,
314,1670,804,ASUS,
315,1766,803,ASUS,171.0
316,1146,872,ASUS,
317,1147,953,ASUS,
318,1210,873,ASUS,
319,1330,874,ASUS,
320,1435,875,ASUS,
321,1579,888,ASUS,
322,1671,891,ASUS,
323,1767,893,ASUS,
324,1770,962,ASUS,168.0
325,1677,961,ASUS,
326,1579,966,ASUS,170.0
327,1434,957,ASUS,
328,1334,961,ASUS,165.0
329,1222,956,ASUS,
330,1456,353,ASUS,165.0
331,1334,355,ASUS,
332,1222,356,ASUS,168.0
333,1141,360,ASUS,
334,1454,260,ASUS,
335,1329,249,ASUS,
336,1218,251,ASUS,
337,1669,154,ASUS,
338,1773,148,ASUS,176.0
339,1145,253,ASUS,
340,1144,155,ASUS,
341,1142,58,ASUS,
342,1220,162,ASUS,
343,1577,352,ASUS,
344,1676,304,ASUS,
345,1774,307,ASUS,
346,1771,248,ASUS,
347,1670,243,ASUS,
348,1575,235,ASUS,
349,1331,165,ASUS,
350,1214,55,ASUS,166.0
351,1334,56,ASUS,
352,1450,160,ASUS,
353,1564,147,ASUS,167.0
354,1448,55,ASUS,
355,1560,59,ASUS,
356,1658,57,ASUS,
357,1762,56,ASUS,
358,48,19,Amg,
359,41,82,Amg,
360,41,141,Amg,
361,40,205,Amg,
362,40,303,Amg,
363,37,407,Amg,
364,33,508,Amg,
365,38,629,Amg,
366,38,728,Amg,
367,40,866,Amg,
368,33,959,Amg,
369,137,958,Amg,
370,135,857,Amg,
371,135,729,Amg,
372,139,639,Amg,
373,144,531,Amg,
374,143,594,Amg,
375,32,582,Amg,
376,141,415,Amg,
377,146,326,Amg,
378,148,178,Amg,
379,139,239,Amg,
380,146,89,Amg,
381,147,24,Amg,
382,282,16,Amg,
383,277,85,Amg,
384,273,159,Amg,
385,274,244,Amg,
386,274,351,Amg,
387,272,458,Amg,
388,269,588,Amg,
389,263,710,Amg,
390,255,828,Amg,
391,242,909,Amg,167.0
392,231,965,Amg,
393,357,957,Amg,166.0
394,360,903,Amg,
395,360,819,Amg,
396,369,704,Amg,
397,367,605,Amg,
398,370,502,Amg,
399,389,394,Amg,
400,394,249,Amg,
401,391,153,Amg,170.0
402,389,71,Amg,
403,391,12,Amg,
404,514,13,Amg,
405,502,67,Amg,
406,507,150,Amg,
407,504,251,Amg,
408,504,377,Amg,
409,499,496,Amg,
410,490,601,Amg,
411,486,704,Amg,
412,477,821,Amg,
413,476,893,Amg,
414,475,962,Amg,
415,589,961,Amg,
416,589,880,Amg,
417,589,788,Amg,
418,588,687,Amg,
419,588,574,Amg,
420,595,490,Amg,
421,588,377,Amg,
422,592,255,Amg,
423,611,147,Amg,
424,602,59,Amg,
425,599,7,Amg,
426,716,13,Amg,
427,713,79,Amg,
428,708,163,Amg,
429,710,257,Amg,
430,702,375,Amg,
431,698,480,Amg,
432,694,574,Amg,
433,695,675,Amg,
434,692,779,Amg,
435,685,885,Amg,
436,676,961,Amg,
437,811,958,Amg,
438,808,877,Amg,
439,810,793,Amg,
440,812,670,Amg,
441,808,561,Amg,
442,965,558,Amg,
443,1089,567,Amg,
444,809,465,Amg,
445,808,349,Amg,
446,820,255,Amg,
447,827,144,Amg,
448,826,74,Amg,
449,824,13,Amg,
450,964,18,Amg,
451,971,85,Amg,
452,966,151,Amg,168.0
453,969,251,Amg,
454,970,360,Amg,
455,973,459,Amg,
456,1094,21,Amg,
457,1094,92,Amg,
458,1095,158,Amg,169.0
459,1090,256,Amg,
460,1088,357,Amg,
461,1084,448,Amg,
462,1218,451,Amg,174.0
463,1334,449,Amg,
464,1459,444,Amg,168.0
465,1566,445,Amg,172.0
466,1677,444,Amg,
467,1771,439,Amg,
468,1765,525,Amg,
469,1672,518,Amg,
470,1568,537,Amg,166.0
471,1448,537,Amg,166.0
472,1325,533,Amg,
473,1212,529,Amg,
474,1148,611,Amg,
475,1213,609,Amg,
476,1329,616,Amg,166.0
477,1444,612,Amg,169.0
478,1570,614,Amg,
479,1145,676,Amg,
480,1209,678,Amg,
481,1324,694,Amg,
482,1440,685,Amg,
483,1574,690,Amg,
484,1668,609,Amg,
485,1759,607,Amg,
486,1657,697,Amg,
487,1755,689,Amg,
488,1149,785,Amg,
489,1214,778,Amg,
490,1330,783,Amg,
491,1443,769,Amg,
492,1582,797,Amg,
493,1670,804,Amg,
494,1766,803,Amg,
495,1146,872,Amg,
496,1147,953,Amg,
497,1210,873,Amg,
498,1330,874,Amg,
499,1435,875,Amg,
500,1579,888,Amg,
501,1671,891,Amg,
502,1767,893,Amg,
503,1770,962,Amg,
504,1677,961,Amg,
505,1579,966,Amg,
