,x_m,y_m,variable,value
73,2.8277185501066096,2.2226600985221676,@@@777@@@,
74,2.811513859275053,2.6579310344827585,@@@777@@@,
75,2.815565031982942,3.125615763546798,@@@777@@@,
76,2.803411513859275,3.607192118226601,@@@777@@@,
77,2.775053304904051,4.098029556650246,@@@777@@@,
78,2.7385927505330487,4.4499507389162565,@@@777@@@,
79,3.285501066098081,4.436059113300493,@@@777@@@,
80,3.273347547974413,4.060985221674877,@@@777@@@,
81,3.2814498933901914,3.6720197044334975,@@@777@@@,
82,3.2895522388059697,3.1024630541871923,@@@777@@@,
83,3.273347547974413,2.597733990147783,@@@777@@@,
84,3.909381663113006,2.58384236453202,@@@777@@@,
85,4.411727078891258,2.62551724137931,@@@777@@@,
86,3.2773987206823025,2.15320197044335,@@@777@@@,
87,3.273347547974413,1.6160591133004927,@@@777@@@,
88,3.3219616204690827,1.1807881773399014,@@@777@@@,173.0
89,3.350319829424307,0.6667980295566502,@@@777@@@,
90,3.3462686567164175,0.3426600985221675,@@@777@@@,172.0
91,3.3381663113006392,0.06019704433497537,@@@777@@@,
92,3.9053304904051167,0.08334975369458128,@@@777@@@,
93,3.933688699360341,0.3935960591133005,@@@777@@@,
94,3.913432835820895,0.6992118226600985,@@@777@@@,172.0
95,3.9255863539445626,1.1622660098522168,@@@777@@@,
96,3.9296375266524515,1.6669950738916257,@@@777@@@,
97,3.941791044776119,2.125418719211823,@@@777@@@,
98,4.431982942430703,0.09724137931034482,@@@777@@@,
99,4.431982942430703,0.42600985221674875,@@@777@@@,170.0
100,4.436034115138592,0.7316256157635468,@@@777@@@,
101,4.415778251599146,1.1854187192118226,@@@777@@@,
102,4.407675906183369,1.653103448275862,@@@777@@@,
103,4.391471215351812,2.0744827586206895,@@@777@@@,
104,4.934328358208955,2.0883743842364533,@@@777@@@,
105,5.404264392324094,2.079113300492611,@@@777@@@,
106,5.910660980810234,2.055960591133005,@@@777@@@,
107,6.34413646055437,2.0605911330049262,@@@777@@@,
108,6.793816631130063,2.055960591133005,@@@777@@@,
109,7.174626865671641,2.032807881773399,@@@777@@@,
110,7.150319829424307,2.4310344827586206,@@@777@@@,
111,6.7735607675906175,2.3986206896551723,@@@777@@@,
112,6.352238805970148,2.486600985221675,@@@777@@@,
113,5.866098081023454,2.486600985221675,@@@777@@@,
114,5.367803837953091,2.46807881773399,@@@777@@@,
115,4.9100213219616196,2.4495566502463055,@@@777@@@,
116,4.650746268656716,2.8292610837438423,@@@777@@@,
117,4.914072494669509,2.82,@@@777@@@,
118,5.384008528784648,2.852413793103448,@@@777@@@,
119,5.849893390191897,2.8338916256157636,@@@777@@@,
120,6.360341151385927,2.843152709359606,@@@777@@@,
121,4.638592750533048,3.1302463054187193,@@@777@@@,
122,4.897867803837952,3.139507389162562,@@@777@@@,
123,5.363752665245202,3.2135960591133004,@@@777@@@,
124,5.833688699360341,3.17192118226601,@@@777@@@,
125,6.376545842217483,3.195073891625616,@@@777@@@,
126,6.757356076759061,2.82,@@@777@@@,
127,7.1260127931769714,2.810738916256158,@@@777@@@,
128,6.712793176972281,3.227487684729064,@@@777@@@,
129,7.109808102345415,3.1904433497536946,@@@777@@@,
130,4.654797441364605,3.634975369458128,@@@777@@@,
131,4.918123667377398,3.6025615763546797,@@@777@@@,
132,5.388059701492537,3.625714285714286,@@@777@@@,
133,5.845842217484008,3.5608866995073893,@@@777@@@,
134,6.4089552238805965,3.6905418719211824,@@@777@@@,
135,6.76545842217484,3.7229556650246307,@@@777@@@,
136,7.154371002132195,3.7183251231527095,@@@777@@@,
137,4.6426439232409376,4.037832512315271,@@@777@@@,
138,4.646695095948827,4.4129064039408865,@@@777@@@,
139,4.901918976545842,4.042463054187192,@@@777@@@,
140,5.388059701492537,4.0470935960591135,@@@777@@@,
141,5.813432835820895,4.051724137931035,@@@777@@@,
142,6.396801705756929,4.11192118226601,@@@777@@@,
143,6.769509594882728,4.125812807881774,@@@777@@@,
144,7.1584221748400845,4.135073891625615,@@@777@@@,
145,7.170575692963752,4.454581280788178,@@@777@@@,
146,6.793816631130063,4.4499507389162565,@@@777@@@,
147,6.396801705756929,4.473103448275862,@@@777@@@,
148,5.8093816631130055,4.4314285714285715,@@@777@@@,
149,5.404264392324094,4.4499507389162565,@@@777@@@,
150,4.950533049040511,4.42679802955665,@@@777@@@,
151,5.898507462686567,1.6345812807881774,@@@777@@@,
152,5.404264392324094,1.6438423645320197,@@@777@@@,
153,4.950533049040511,1.648472906403941,@@@777@@@,
154,4.622388059701492,1.6669950738916257,@@@777@@@,
155,5.890405117270788,1.2039408866995074,@@@777@@@,
156,5.384008528784648,1.1530049261083744,@@@777@@@,
157,4.934328358208955,1.1622660098522168,@@@777@@@,
158,6.76140724946695,0.713103448275862,@@@777@@@,
159,7.18272921108742,0.685320197044335,@@@777@@@,
160,4.638592750533048,1.171527093596059,@@@777@@@,
161,4.63454157782516,0.7177339901477833,@@@777@@@,168.0
162,4.626439232409381,0.26857142857142857,@@@777@@@,
163,4.942430703624733,0.7501477832512315,@@@777@@@,
164,6.388699360341151,1.6299507389162562,@@@777@@@,
165,6.789765458422174,1.4076847290640393,@@@777@@@,
166,7.186780383795308,1.421576354679803,@@@777@@@,
167,7.174626865671641,1.148374384236453,@@@777@@@,
168,6.76545842217484,1.1252216748768473,@@@777@@@,
169,6.380597014925373,1.0881773399014778,@@@777@@@,
170,5.392110874200426,0.7640394088669951,@@@777@@@,
171,4.918123667377398,0.254679802955665,@@@777@@@,
172,5.404264392324094,0.2593103448275862,@@@777@@@,
173,5.874200426439232,0.7408866995073892,@@@777@@@,
174,6.336034115138592,0.6806896551724138,@@@777@@@,
175,5.866098081023454,0.254679802955665,@@@777@@@,
176,6.319829424307035,0.27320197044334976,@@@777@@@,
177,6.71684434968017,0.2639408866995074,@@@777@@@,
178,7.138166311300639,0.2593103448275862,@@@777@@@,
179,0.19445628997867803,0.08798029556650246,ASUS,
180,0.16609808102345414,0.37970443349753696,ASUS,
181,0.16609808102345414,0.6529064039408867,ASUS,
